CFC;V8.2;08.02.00.00_02.87.00.02;V8.2.0.0;
Automation License Manager;V6.0 + SP2;06.00.02.00_02.01.00.03;K6.0.2.0;
S7-PLCSIM  ;V5.4 + SP8;V05.04.08.01_01.24.00.01;K5.4.8.1;
SIMATIC ProSave;V15.1;V15.01.00.00_28.01.00.01;V15.01.00.00;
SIMATIC S7-Block Privacy;V1.0 + SP4;K1.0.4.0_9.1.0.1;K1.0.4.0;
S7-PCT;V3.5 + Upd1;K3.5.0.1_1.10.0.1;K3.5.0.1;
SIMOTION SCOUT CamTool;V4.1.0.1;V04.01.00.01_05.10.22.03;V4.1.0.1;
SIMOTION Simulation;V5.1.0.1;V05.01.00.01_05.10.22.03;V5.1.0.1;
STEP 7;V5.6 + SP1;K5.6.1.0_9.1.0.2;K5.6.1.0;
SIMATIC S7-Web2PLC;V1.0 + SP3;K1.0.3.0_8.1.0.1;K1.0.3.0;
AI S7 ADAPTER;8.2;08.02.00.00_02.87.00.02;---;
Automation Access Control Component;4.0;K04.00.01.00_01.01.00.01;---;
Automation Software Updater;02.04.0000;V02.04.00.00_01.12.00.05;---;
SIMATIC Colour Editor;5.2.2.0;K5.2.2.0_2.1.0.1;---;
SIMATIC ES Common Services;8.2;08.02.00.00_02.87.00.02;---;
SIMATIC HMIProvider;7.0;K07.00.03.01_01.01.00.01;---;
License Logon Interface;4.0;K04.00.03.00_01.01.00.02;---;
SIEMENS OPC;3.9;03.09.08.00_01.07.00.01;---;
SIMATIC PLCSIM Advanced SimRT;2.0.0.0;V02.00.00.00_26.01.00.02;---;
SIMATIC HMI ProSave;15.1.0.0;V15.01.00.00_28.01.00.01;---;
SIMATIC HMI Symbol Library;15.1.0.0;V15.01.00.00_28.01.00.01;---;
SIMATIC HMI Touch Input;15.1.0.0;V15.01.00.00_28.01.00.01;---;
SIMATIC Runtime Interfaces;2.1;K02.01.00.03_01.01.00.01;---;
SIMATIC Version View;1.7.11.0;K1.7.11.0_6.1.0.2;---;
SIMATIC Common Services;5.3.15.0;K5.3.15.0_1.1.0.1;---;
SIMATIC Device Drivers WoW;29.2;29.02.01.01_01.01.00.01;---;
SIMATIC Event Database;5.6;05.06.01.00_02.01.00.01;---;
SIMATIC GSD CONTROL;3.5.7.0;K3.5.7.0_2.1.0.1;---;
SIMATIC GSD Interpreter;2.8.0.0;V2.8.0.0_1.1.0.1;---;
SIMATIC Interface Editor;5.4.22.0;K5.4.22.0_2.1.0.1;---;
SIMATIC Extended Interfaces;5.4.7.0;K5.4.7.0_2.1.0.1;---;
SIMATIC LanguageSupportTool;5.8.4.0;K5.8.4.0_2.1.0.1;---;
SIMATIC Condition Editor;5.4.13.0;K5.4.13.0_1.1.0.1;---;
SIMATIC NCM;5.6.1.0;K5.6.1.0_9.1.0.2;---;
SIMATIC Process Diagnosis Base;5.6.1.0;K5.6.1.0_1.1.0.1;---;
SIMATIC Process Diagnosis Database;5.6.0.0;V5.6.0.0_4.1.0.1;---;
SIMATIC DIAGNOSTIC REPEATER GUI CTRL;5.2.3.0;K5.2.3.0_1.1.0.1;---;
SIMATIC Grid Control;2.6.0.0;V2.6.0.0_2.1.0.1;---;
SIMATIC S7-Status-OCX;5.3.12.0;K5.3.12.0_2.1.0.1;---;
SIMATIC Technological Parameter Assignment;5.3.12.0;K5.3.12.0_3.1.0.1;---;
SIMATIC X-Ref Control;5.2.9.0;K5.2.9.0_1.1.0.1;---;
SIMATIC STEP 7 Help Viewer;1.0.2.0;K1.0.2.0_2.1.0.1;---;
SIMATIC SCL Compiler;5.3.8.3;K5.3.8.3_4.1.0.1;---;
SeCon;2.5;V02.05.01.01_01.01.00.02;---;
SIMOSIM Driver;5.1.0.1;V05.01.00.01_05.10.22.03;---;
SIMATIC Station Observer;K7.3.1.0;V07.03.01.00_01.01.00.14;---;
SIMATIC SCS;K7.5.1.0;V07.05.01.00_01.13.00.01;---;
SIMATIC WinCC Common Archiving;K7.4.65.0;V07.04.65.00_01.38.00.04;---;
WinCC Runtime Advanced Simulator;15.1.0.0;V15.01.00.00_28.01.00.01;---;
